FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
110114;0000;;23,5958;;
110115;0000;;27,15;;
110116;0000;;26,0045;;
110117;0000;;23,0478;;
110118;0000;;26,625;;
110119;0000;;25,3416;;
110120;0000;;18,8667;;
110121;0000;;21,65;;
110122;0000;;20,4458;;
110123;0000;;19,8208;;
110124;0000;;24,3917;;
110125;0000;;;;
110126;0000;;;;
110127;0000;;;;
110128;0000;;14,9333;;
110129;0000;;15,3167;;
110130;0000;;21,15;;
110131;0000;;15,5;;
110201;0000;;15,8292;;
110202;0000;;24,125;;
110203;0000;;17,4042;;
110204;0000;;18,1958;;
110205;0000;;17,55;;
110206;0000;;17,7791;;
110207;0000;;23,8416;;
110208;0000;;20,9208;;
110209;0000;;23,6875;;
110210;0000;;26,6739;;
110211;0000;;56,0047;;
110212;0000;;11,0792;;
110213;0000;;7,8826;;
110214;0000;;24,735;;
110215;0000;;;;
110216;0000;;11,3458;;
110217;0000;;;;
110218;0000;;;;
110219;0000;;17,7833;;
110220;0000;;18;;
110221;0000;;14,4875;;
110222;0000;;17,4833;;
110223;0000;;18,3625;;
110224;0000;;18,1261;;
110225;0000;;23,8916;;
110226;0000;;15,775;;
110227;0000;;12,4875;;
110228;0000;;17,5667;;
110301;0000;;17,0958;;
110302;0000;;18,4083;;
110303;0000;;18,475;;
110304;0000;;19,5083;;
110305;0000;;18,8;;
110306;0000;;13,9958;;
110307;0000;;18,6333;;
110308;0000;;19,7542;;
110309;0000;;20,7583;;
110310;0000;;23,3043;;
110311;0000;;26,2292;;
110312;0000;;28,2333;;
110313;0000;;23,2458;;
110314;0000;;22,6583;;
110315;0000;;26,1625;;
110316;0000;;28,1783;;
110317;0000;;28,7125;;
110318;0000;;34,1;;
110319;0000;;26,3917;;
110320;0000;;25,7905;;
110321;0000;;15,525;;
110322;0000;;;;
110323;0000;;28,075;;
110324;0000;;24,2375;;
110325;0000;;45,9625;;
110326;0000;;60,2333;;
110327;0000;;45,4916;;
110328;0000;;;;
110329;0000;;37,3273;;
110330;0000;;25,2292;;
110331;0000;;21,95;;
110401;0000;;54,7599;;
110402;0000;;29,7166;;
110403;0000;;20,3292;;
110404;0000;;27,7958;;
110405;0000;;24,1125;;
110406;0000;;23,0458;;
110407;0000;;26,7583;;
110408;0000;;54,0375;;
110409;0000;;73,7999;;
110410;0000;;37,55;;
110411;0000;;41,2542;;
110412;0000;;30,6791;;
110413;0000;;30,5348;;
110414;0000;;97,7374;;
110415;0000;;98,1542;;
110416;0000;;69,9375;;
110417;0000;;95,7869;;
110418;0000;;80,025;;
110419;0000;;67,6565;;
110420;0000;;51,0958;;
110421;0000;;24,7875;;
110422;0000;;32,7875;;
110423;0000;;39,2792;;
110424;0000;;57,1095;;
110425;0000;;;;
110426;0000;;;;
110427;0000;;;;
110428;0000;;;;
110429;0000;;;;
110430;0000;;;;
110501;0000;;137,037;;
110502;0000;;131,012;;
110503;0000;;96,8049;;
110504;0000;;81,5549;;
110505;0000;;;;
110506;0000;;;;
110507;0000;;93,0435;;
110508;0000;;68,3522;;
110509;0000;;107,042;;
110510;0000;;61,0833;;
110511;0000;;;;
110512;0000;;;;
110513;0000;;67,1083;;
110514;0000;;37,2333;;
110515;0000;;;;
110516;0000;;;;
110517;0000;;;;
110518;0000;;39,84;;
110519;0000;;;;
110520;0000;;88,0952;;
110521;0000;;61,1428;;
110522;0000;;141,521;;
110523;0000;;;;
110524;0000;;;;
110525;0000;;;;
110526;0000;;;;
110527;0000;;47,2684;;
110528;0000;;33,0478;;
110529;0000;;;;
110530;0000;;;;
110531;0000;;88,3809;;
110601;0000;;127,167;;
110602;0000;;88,819;;
110603;0000;;121,579;;
110604;0000;;48,7916;;
110605;0000;;73,4375;;
110606;0000;;58,0789;;
110607;0000;;;;
110608;0000;;;;
110609;0000;;26,57;;
110610;0000;;35,8455;;
110611;0000;;35,2542;;
110612;0000;;182,904;;
110613;0000;;297,186;;
110614;0000;;51,905;;
110615;0000;;43,725;;
110616;0000;;29,0583;;
110617;0000;;;;
110618;0000;;22,025;;
110619;0000;;42,4409;;
110620;0000;;136,656;;
110621;0000;;178,717;;
110622;0000;;101,471;;
110623;0000;;89,9521;;
110624;0000;;101,121;;
110625;0000;;112,291;;
110626;0000;;97,9583;;
110627;0000;;123,146;;
110628;0000;;55,013;;
110629;0000;;45,9739;;
110630;0000;;49,2762;;
110701;0000;;155,532;;
110702;0000;;199,733;;
110703;0000;;150,743;;
110704;0000;;224,112;;
110705;0000;;116,037;;
110706;0000;;187,258;;
110707;0000;;219,312;;
110708;0000;;81,0863;;
110709;0000;;45,4608;;
110710;0000;;64,8455;;
110711;0000;;45,3043;;
110712;0000;;42,6818;;
110713;0000;;23,8917;;
110714;0000;;21,4909;;
110715;0000;;33,35;;
110716;0000;;44,4542;;
110717;0000;;126,992;;
110718;0000;;85,8434;;
110719;0000;;118,895;;
110720;0000;;43,7542;;
110721;0000;;67,926;;
110722;0000;;72,1478;;
110723;0000;;150,192;;
110724;0000;;34,665;;
110725;0000;;43,5681;;
110726;0000;;46,4333;;
110727;0000;;33,3792;;
110728;0000;;58,4916;;
